y,treatment,W1,W2,instruments
15,6.14E-10,16.97384321,1.692,65.06844347
17,6.28E-10,17.27083281,1.692,55.6285192
12,6.33E-10,17.6391802,1.692,56.49113654
15,6.69E-10,17.38351249,1.692,120.5091183
19,6.87E-10,16.3946924,1.692,118.5443537
24,6.45E-10,17.08181051,1.692,49.80251478
33,6.14E-10,16.92342837,1.692,97.02437658
40,6.02E-10,17.24987588,1.692,49.61140805
32,6.53E-10,17.04951452,1.692,111.6143296
29,6.68E-10,16.8230666,1.692,78.14360898
42,6.49E-10,16.78413429,1.692,195.5582799
34,6.58E-10,17.01304348,1.692,89.94156945
35,6.41E-10,16.77614556,1.692,51.30095819
32,6.66E-10,16.68775552,1.692,150.9879376
40,7.27E-10,16.49281351,1.692,148.7895271
34,7.43E-10,17.49342868,1.692,66.75994248
41,7.65E-10,17.4662596,1.692,114.4763524
31,7.48E-10,16.62570253,1.692,164.4433444
38,7.46E-10,17.05610405,1.692,119.1053275
46,7.29E-10,16.55173735,1.692,183.592417
38,7.01E-10,16.80115617,1.692,115.5176343
20,6.90E-10,16.43285002,1.692,160.2089179
22,6.46E-10,15.99380439,1.692,253.3930853
34,7.25E-10,16.67244644,1.692,222.057715
43,7.89E-10,16.55132157,1.692,261.0336443
35,7.59E-10,15.77347192,1.692,259.9663943
29,7.48E-10,16.43924538,1.692,154.6198329
40,7.52E-10,16.38215626,1.692,296.0472137
28,7.47E-10,16.62961409,1.692,145.5657389
30,7.08E-10,16.4481328,1.692,92.36013248
12,7.13E-10,16.97026706,1.692,58.4825784
37,8.15E-10,16.34316106,1.692,205.4209872
37,9.55E-10,16.91799905,1.692,46.32303375
33,9.38E-10,17.04412886,1.692,196.1443547
34,9.43E-10,16.86253643,1.692,157.8487668
33,1.14E-09,16.69685306,1.692,165.260811
26,1.26E-09,16.95943014,1.692,153.961222
32,1.36E-09,16.90779204,1.692,233.5942192
42,1.48E-09,16.81405587,1.692,192.0023806
42,1.34E-09,16.46855014,1.692,220.9308397
42,1.31E-09,16.81920877,1.692,178.4843205
47,1.60E-09,17.82505074,1.692,181.7603133
41,1.53E-09,17.35509433,1.692,103.4645695
31,1.38E-09,17.92847844,1.692,153.7980222
42,1.27E-09,17.88547443,1.692,91.39803511
31,1.06E-09,17.39870484,1.692,208.4004864
35,8.39E-10,17.63650932,1.692,141.6816134
25,7.33E-10,17.58441613,1.692,227.7803971
23,7.76E-10,16.3715685,1.692,201.2696654
27,7.30E-10,17.25308473,1.692,188.8719519
28,7.08E-10,17.42790776,1.692,108.1579658
40,7.25E-10,17.45418386,1.692,154.7100037
29,7.84E-10,17.48104181,1.692,103.5238702
29,7.46E-10,17.67224172,1.692,55.64403848
28,6.24E-10,17.07724128,1.692,25.02475701
40,5.98E-10,17.2774869,1.692,110.2653691
25,6.02E-10,17.51433745,1.692,53.62337742
39,5.80E-10,17.45669006,1.692,81.73116612
30,5.64E-10,17.42099118,1.692,19.2578053
31,6.74E-10,17.79468105,1.692,37.80016091
33,6.76E-10,17.50472999,1.692,57.70994924
40,5.93E-10,16.82980807,1.692,71.07501358
38,6.39E-10,17.12728327,1.692,66.29076053
42,7.34E-10,17.09173095,1.692,99.25479286
46,7.82E-10,16.72347479,1.692,99.01129461
36,7.32E-10,17.42678118,1.692,76.92851099
32,7.62E-10,16.89610495,1.692,68.09331351
32,7.32E-10,16.82502864,1.692,161.0076544
42,6.70E-10,16.93205241,1.692,191.2302647
